internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
11200,Lamna nasus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,,,,,"(Bonnaterre, 1788)",
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,cyanopterus,,,,,"(Cuvier, 1828)",
137070,Deltochilum icarus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Deltochilum,icarus,,,,,"(Olivier, 1789)","<em>Deltochilum</em> was described in 1822 by Eschscholtz. The main diagnostic characteristic is the presence of short carinae or tubercles at the apex of some elitral interstriae. The genus is composed by eight subgenera: <em>Aganhyboma</em> Kolbe, 1893; <em>Calhyboma</em> Kolbe, 1893; <em>Deltochilum</em> s. str.; <em>Deltohyboma</em> Lane, 1946; <em>Euhyboma</em> Kolbe, 1983; <em>Hybomidium</em> Shipp, 1897; <em>Parahyboma</em> Paulian, 1938; <em>Rubrohyboma</em> Paulian, 1938.</span>"
137079,Anomiopus parallelus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anomiopus,parallelus,,,,,"(Harold, 1862)","The genus is exclusively Neotropical and most species occur in South America (Canhedo 2006). The group was reviewed by Canhedo in 2006. However, ten new species were described by the same author in 2004 parallel to the process of publication of taxonomic revision, so that the works that complement the taxonomic revision were published even before the own revision of the genus (Canhedo 2004a, 2004b, 2006). After the publication of these papers the genus now includes 58 species.&#160;Although there is a taxonomic revision with a relatively recent identification key for the genus, it still presents a considerable number of species to describe."
137083,Ateuchus latus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Ateuchus,latus,,,,,"(Boucomont, 1928)","<em>Ateuchus </em>is a diverse genus, with approximately 70 species, distributed from the United States to Argentina and Lesser Antilles. The diversity of the group is also accompanied by various taxonomic and nomenclatural problems. In addition, the need for taxonomic revisions makes the accuracy of identification of most South American species an extremely difficult task. The genus still presents a considerable number of species to describe."
137095,Canthon divinator,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,divinator,,,,,"Gistel, 1857","<p><em>Canthon</em> is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>, <em>Canthon</em> <em>s.str</em>., <em>Francmonrosia</em>, <em>Glaphyrocanthon</em>, <em>Goniocanthon</em>, <em>Nesocanthon</em>, <em>Peltecanthon</em>, <em>Pseudepilissus</em>, <em>Trichocanthon</em>. Of these, only <em>Boreocanthon</em> and <em>Nesocanthon</em> do not occur in South America. The genus is taxonomically well known.</p>"
137099,Anomiopus bonariensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anomiopus,bonariensis,,,,,"(Bruch, 1925)","The genus is exclusively Neotropical and most species occur in South America (Canhedo 2006). The group was reviewed by Canhedo in 2006. However, ten new species were described by the same author in 2004 parallel to the process of publication of taxonomic revision, so that the works that complement the taxonomic revision were published even before the own revision of the genus (Canhedo 2004a, 2004b, 2006). After the publication of these papers the genus now includes 58 species.&#160;Although there is a taxonomic revision with a relatively recent identification key for the genus, it still presents a considerable number of species to describe."
137106,Anisocanthon pygmaeus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anisocanthon,pygmaeus,,,,,"(Gillet, 1911)","<p>This genus was created to group three species<strong> </strong>(two of them described as <em>Canthon</em> and the third as <em>Deltochilum</em>) and now contains four species described. Currently, its geographic distribution is restricted to the South American continent.&#160;&#160;</p>"
137121,Scatonomus xanthopygus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Scatonomus,xanthopygus,,,,,"Pereira, 1954","<em>Scatonomus</em> is a small genus, containing only eight described species, of which little taxonomic and biological information is available. The genus is known from </span>Brazil, Argentina, Uruguay and Paraguay, and its species are distributed </span>throughout “Cerrado”, “Pampa” and Atlantic forest.</span>"
